algorithm,constructionTime,executionTime,weightMST
Kruskal Geometric,0.192600,0.130700,1557
Prim Nomal,0.170300,0.111100,496
Kruskal Normal,0.237100,0.135400,496
Prim Geometric,0.139900,0.142900,1525
Kruskal Geometric,0.211700,0.127600,1525
Prim Nomal,0.234800,0.113700,598
Kruskal Normal,0.359300,0.174000,598
Prim Geometric,0.171200,0.159600,1433
Kruskal Geometric,0.243800,0.127200,1433
Prim Nomal,0.315200,0.113000,595
Kruskal Normal,0.403400,0.138100,595
Prim Geometric,0.200300,0.249400,1572
Kruskal Geometric,0.298700,0.130600,1572
Prim Nomal,0.152100,0.096900,469
Kruskal Normal,0.208800,0.183700,469
Prim Geometric,0.125900,0.140900,1391
Kruskal Geometric,0.494500,0.182000,1391
Prim Nomal,0.161200,0.095400,391
Kruskal Normal,0.226700,0.182100,391
Prim Geometric,0.158200,0.173800,1339
Kruskal Geometric,0.230900,0.172300,1339
Prim Nomal,0.165300,0.095400,502
Kruskal Normal,0.227300,0.188500,502
Prim Geometric,0.122100,0.462600,1268
Kruskal Geometric,0.179100,0.264900,1268
Prim Nomal,0.156600,0.098400,486
Kruskal Normal,0.226800,0.210400,486
Prim Geometric,0.104500,0.154700,1232
Kruskal Geometric,0.171200,0.168600,1232
Prim Nomal,0.203100,0.102100,421
Kruskal Normal,0.267500,0.191800,421
Prim Geometric,0.121700,0.173900,1352
Kruskal Geometric,0.179900,0.169000,1352
Prim Nomal,0.161700,0.100100,499
Kruskal Normal,0.223900,0.176400,499
Prim Geometric,0.123400,0.165400,1342
Kruskal Geometric,0.182900,0.164600,1342
Prim Nomal,0.137800,0.100800,395
Kruskal Normal,0.203700,0.177200,395
Prim Geometric,0.103600,0.154100,1319
Kruskal Geometric,0.160400,0.165500,1319
Prim Nomal,0.148500,0.096100,395
Kruskal Normal,0.211200,0.179600,395
Prim Geometric,0.123600,0.134100,1394
Kruskal Geometric,0.182600,0.180600,1394
Prim Nomal,0.130500,0.106300,380
Kruskal Normal,0.193400,0.183200,380
Prim Geometric,0.105000,0.135800,1409
Kruskal Geometric,0.165800,0.170100,1409
Prim Nomal,0.220500,0.182900,453
Kruskal Normal,0.293700,0.175800,453
Prim Geometric,0.190800,0.150200,1399
Kruskal Geometric,0.250900,0.164700,1399
Prim Nomal,0.131600,0.098100,436
Kruskal Normal,0.230100,0.219400,436
Prim Geometric,0.299300,0.260400,1225
Kruskal Geometric,0.490600,0.276200,1225
Prim Nomal,0.439900,0.081900,356
Kruskal Normal,0.522500,0.220400,356
Prim Geometric,0.090800,0.132300,1218
Kruskal Geometric,0.182300,0.211300,1218
Prim Nomal,0.132300,0.085300,360
Kruskal Normal,1.878300,0.218100,360
Prim Geometric,1.073700,0.314500,1216
Kruskal Geometric,2.301000,0.213200,1216
Prim Nomal,0.125900,0.082000,373
Kruskal Normal,0.222300,0.242500,373
Prim Geometric,0.096700,0.137300,1250
Kruskal Geometric,0.192500,0.201200,1250
Prim Nomal,0.145000,0.077800,371
Kruskal Normal,0.235500,0.227500,371
Prim Geometric,0.104800,0.205900,1204
Kruskal Geometric,0.192400,0.260500,1204
Prim Nomal,0.123000,0.074900,430
Kruskal Normal,0.199100,0.346300,430
Prim Geometric,0.159700,0.144600,1306
Kruskal Geometric,0.249200,0.205200,1306
Prim Nomal,0.818700,0.121600,286
Kruskal Normal,0.965800,0.307800,286
Prim Geometric,0.187500,0.146600,1214
Kruskal Geometric,0.262300,0.211500,1214
Prim Nomal,0.122600,0.075800,377
Kruskal Normal,0.200200,0.223500,377
Prim Geometric,0.152300,0.150600,1259
Kruskal Geometric,0.226900,0.207800,1259
Prim Nomal,0.133600,0.078100,332
Kruskal Normal,0.219400,0.223300,332
Prim Geometric,0.111500,0.154000,1240
Kruskal Geometric,0.185600,0.241100,1240
Prim Nomal,0.126600,0.077800,468
Kruskal Normal,0.201800,0.218900,468
Prim Geometric,0.105800,0.138000,1208
Kruskal Geometric,0.178900,0.214900,1208
Prim Nomal,2.423700,0.194000,61232
Kruskal Normal,2.530400,0.027900,61232
Prim Geometric,1.710700,0.191800,45768
Kruskal Geometric,1.798800,0.041800,45768
Prim Nomal,1.613000,0.190000,67484
Kruskal Normal,1.704700,0.028100,67484
Prim Geometric,1.696400,0.272200,46758
Kruskal Geometric,1.780000,0.028600,46758
Prim Nomal,1.526400,0.191700,61990
Kruskal Normal,1.608900,0.027400,61990
Prim Geometric,1.709700,0.193000,47804
Kruskal Geometric,1.790100,0.027900,47804
Prim Nomal,3.073700,0.820700,63092
Kruskal Normal,3.552400,0.029300,63092
Prim Geometric,1.865800,1.652200,47841
Kruskal Geometric,1.955300,0.079900,47841
Prim Nomal,1.515300,0.189500,63196
Kruskal Normal,1.600300,0.027700,63196
Prim Geometric,1.854700,0.239000,48125
Kruskal Geometric,1.943900,0.028700,48125
Prim Nomal,1.569900,0.192900,61000
Kruskal Normal,1.671900,0.027500,61000
Prim Geometric,2.504900,0.211300,48535
Kruskal Geometric,3.099300,0.041300,48535
Prim Nomal,1.717100,0.191300,62166
Kruskal Normal,1.806700,0.047700,62166
Prim Geometric,1.781400,0.192500,47450
Kruskal Geometric,1.864500,0.027400,47450
Prim Nomal,1.498300,0.192400,64086
Kruskal Normal,1.579000,0.027000,64086
Prim Geometric,1.592900,0.202200,45970
Kruskal Geometric,1.675800,0.028000,45970
Prim Nomal,1.551000,0.193300,64501
Kruskal Normal,1.641200,0.027200,64501
Prim Geometric,4.031200,0.235500,47687
Kruskal Geometric,4.125100,0.028600,47687
Prim Nomal,3.060200,0.199500,62451
Kruskal Normal,3.154000,0.029000,62451
