TipoGrafo,Vertices,DensidadePercentual,Algoritmo,constructionTime_media,executionTime_media,executionTime_desvio,weightMST_media
Geometric,7500,40,Prim,673.01707,417.80217000000005,46.310050948580376,14500.7
Geometric,7500,60,Kruskal,1003.3304099999999,934.1515999999999,59.65546418381693,12105.4
Geometric,7500,60,Prim,724.89267,495.95689000000004,50.37370425590121,12105.4
Geometric,7500,80,Kruskal,869.36738,1248.97341,112.44205742398515,10789.1
Geometric,7500,80,Prim,649.66073,396.11329,18.048710580072527,10789.1
Geometric,7500,100,Kruskal,713.36713,1618.67427,267.5939278394122,10054.4
Geometric,7500,100,Prim,561.64246,293.93175,17.612004419476698,10054.4
Geometric,10000,0,Kruskal,606.33171,0.56021,0.005662832035886866,941669.7
Geometric,10000,0,Prim,577.86591,72.80197,2.708685904456252,941669.7
Geometric,10000,20,Kruskal,1154.33159,513.68259,18.525641902416123,23342.0
Geometric,10000,20,Prim,938.4530000000001,422.64682000000005,43.0644491671572,23342.0
Geometric,10000,40,Kruskal,1480.78331,1025.71661,46.21979011913143,16632.1
Geometric,10000,40,Prim,1128.11755,683.76855,14.852311128369523,16632.1
Geometric,10000,60,Kruskal,1699.0099999999998,1684.2828399999999,166.37506593630349,14036.0
Geometric,10000,60,Prim,1294.10342,849.03639,155.04085718446714,14036.0
Geometric,10000,80,Kruskal,1419.12425,2191.52697,83.00361159606996,12735.7
Geometric,10000,80,Prim,1077.7355599999999,646.4377999999999,24.25837493279385,12735.7
Geometric,10000,100,Kruskal,1431.9192699999999,2718.95217,128.5349404452176,12008.6
Geometric,10000,100,Prim,1107.01791,484.02109,19.18636884210884,12008.6
Normal,100,0,Kruskal,0.08667,0.00679,0.004363090138371605,12893.6
Normal,100,0,Prim,0.07694999999999999,0.013139999999999999,0.00031692971530679196,12893.6
Normal,100,20,Kruskal,0.14697,0.23765999999999998,0.5883393846714289,1397.8
Normal,100,20,Prim,0.11739,0.21542,0.4678716248431115,1397.8
Normal,100,40,Kruskal,0.19022,0.10773999999999999,0.035199185596639405,782.7
Normal,100,40,Prim,0.15313,0.11215,0.03241838470168844,782.7
Normal,100,60,Kruskal,1.8404900000000002,0.16212,0.04790814822831986,565.2
Normal,100,60,Prim,0.18502000000000002,0.26119,0.46827005373205555,565.2
Normal,100,80,Kruskal,0.36428000000000005,0.21355,0.07497490320841442,423.5
Normal,100,80,Prim,0.33653999999999995,0.10273000000000002,0.023570841214423294,423.5
Normal,100,100,Kruskal,0.34642,0.45472999999999997,0.7101548392193541,340.1
Normal,100,100,Prim,0.22936,0.32952,0.7913580448261779,340.1
Normal,500,0,Kruskal,2.03431,0.02793,0.00034657049948186807,64655.7
Normal,500,0,Prim,1.9343800000000002,0.23161,0.10485411505727583,64655.7
Normal,500,20,Kruskal,4.07049,1.17872,0.06274227353936812,1768.9
Normal,500,20,Prim,3.36959,1.24772,0.27516628023393025,1768.9
Normal,500,40,Kruskal,4.9689,2.67085,0.8660095755821642,1036.7
Normal,500,40,Prim,3.6747,2.44932,0.9628047821050976,1036.7
Normal,500,60,Kruskal,6.60495,4.257099999999999,1.1421551422153162,779.8
Normal,500,60,Prim,4.66542,2.63564,1.2173160442364817,779.8
Normal,500,80,Kruskal,5.271649999999999,5.22124,0.8938976180500513,655.7
Normal,500,80,Prim,3.84772,2.60783,1.2449941571036476,655.7
Normal,500,100,Kruskal,4.84648,6.80823,1.0583266572492844,600.4
Normal,500,100,Prim,3.57285,1.26471,0.9808842421792467,600.4
Normal,1000,0,Kruskal,8.587909999999999,0.06659000000000001,0.020217069245785577,127066.9
Normal,1000,0,Prim,8.23475,1.07311,0.6673972021550918,127066.9
Normal,1000,20,Kruskal,14.175810000000002,5.04463,0.8447946102127102,2028.2
Normal,1000,20,Prim,10.68342,4.83397,0.5842978522218879,2028.2
Normal,1000,40,Kruskal,18.16416,9.476560000000001,0.19586990693938786,1300.2
Normal,1000,40,Prim,13.25222,7.0672,0.3205411500710775,1300.2
Normal,1000,60,Kruskal,20.409950000000002,15.01293,1.2531717937120825,1113.2
Normal,1000,60,Prim,15.19384,8.065760000000001,1.2523033358132079,1113.2
Normal,1000,80,Kruskal,17.3236,19.79539,1.3847958425141391,1048.6
Normal,1000,80,Prim,13.14561,6.34726,0.3685529306173902,1048.6
Normal,1000,100,Kruskal,18.499950000000002,25.50065,2.0495283111812177,1020.3
Normal,1000,100,Prim,14.060329999999999,3.35561,0.5230990865346002,1020.3
Normal,2500,0,Kruskal,38.54659,0.14686,0.004416433956133483,319617.8
Normal,2500,0,Prim,36.63023,4.63322,0.24543437140438723,319617.8
Normal,2500,20,Kruskal,84.31615000000001,31.258960000000002,1.4724947328334397,2955.9
Normal,2500,20,Prim,67.04361,25.71422,2.1233513650725717,2955.9
Normal,2500,40,Kruskal,122.02506000000001,69.65722000000001,10.3445359221185,2548.1
Normal,2500,40,Prim,96.17089999999999,54.65199,23.177119440442887,2548.1
Normal,2500,60,Kruskal,133.60561,142.76740999999998,95.48715551431162,2504.1
Normal,2500,60,Prim,105.76595,52.85009,14.56256335283883,2504.1
Normal,2500,80,Kruskal,107.51997999999999,157.23439,93.89312057529916,2500.0
Normal,2500,80,Prim,83.09801,36.46537,2.074815471339827,2500.0
Normal,2500,100,Kruskal,102.10946,167.91782,20.20475431222398,2499.2
Normal,2500,100,Prim,82.24629,19.58388,3.120374950333159,2499.2
Normal,5000,0,Kruskal,161.92863,0.30514,0.04910789029157013,637342.6
Normal,5000,0,Prim,154.38601999999997,18.77602,1.3600920122468843,637342.6
Normal,5000,20,Kruskal,300.19524,126.9982,3.8319001068515472,5095.1
Normal,5000,20,Prim,242.15875,98.017,9.89658730618231,5095.1
Normal,5000,40,Kruskal,422.83157,269.47707,21.78938079748686,5000.0
Normal,5000,40,Prim,329.35848,160.44588,5.559341432380074,5000.0
Normal,5000,60,Kruskal,499.7117099999999,428.36575000000005,50.596660278767395,4999.0
Normal,5000,60,Prim,396.9937,182.78711,11.132455109718109,4999.0
Normal,5000,80,Kruskal,491.64761,546.55722,41.446054681552276,4999.0
Normal,5000,80,Prim,379.53306,142.86046,7.997843036191414,4999.0
Normal,5000,100,Kruskal,393.45673,670.14469,20.231673773920267,4999.0
Normal,5000,100,Prim,310.55932,93.62485000000001,10.416942312432935,4999.0
Normal,7500,0,Kruskal,359.08534,0.44473,0.03480801472202759,953960.0
Normal,7500,0,Prim,336.36859,44.094049999999996,9.793907572596117,953960.0
Normal,7500,20,Kruskal,649.4247,294.0514,15.704753973876839,7518.4
Normal,7500,20,Prim,530.70155,216.13061,10.065002027647859,7518.4
Normal,7500,40,Kruskal,998.9560799999999,627.40989,64.4233367513055,7499.1
Normal,7500,40,Prim,776.0977800000001,391.54227000000003,79.87662942671932,7499.1
Normal,7500,60,Kruskal,1184.8312799999999,975.91011,91.13240140854222,7499.0
Normal,7500,60,Prim,878.03828,446.48051999999996,60.126725816779874,7499.0
Normal,7500,80,Kruskal,1004.6558799999999,1272.5740600000001,78.99155875501577,7499.0
Normal,7500,80,Prim,792.05754,323.98733,22.079754018559868,7499.0
Normal,7500,100,Kruskal,903.1955599999999,1632.48576,117.81633970412688,7499.0
Normal,7500,100,Prim,745.27347,222.41507000000001,19.457041463585025,7499.0
Normal,10000,0,Kruskal,630.0496,0.60758,0.06262863739713824,1276496.8
Normal,10000,0,Prim,602.03643,72.81529,1.601922771373342,1276496.8
Normal,10000,20,Kruskal,1166.1224399999999,530.00293,14.81130555180737,10002.2
Normal,10000,20,Prim,958.69165,373.0978,15.787768705270269,10002.2
Normal,10000,40,Kruskal,1591.58573,1056.90915,16.032113533658336,9999.1
Normal,10000,40,Prim,1237.51079,622.11027,12.484173924973966,9999.1
Normal,10000,60,Kruskal,1877.30635,1741.07004,133.39950393272912,9999.0
Normal,10000,60,Prim,1495.67868,720.85661,29.332156980217302,9999.0
Normal,10000,80,Kruskal,1741.1968000000002,2342.7724900000003,190.48386660735844,9999.0
Normal,10000,80,Prim,1388.13843,552.35376,10.917671358164627,9999.0
Normal,10000,100,Kruskal,1561.67852,2901.8520799999997,208.94199276716236,9999.0
Normal,10000,100,Prim,1292.90138,394.98937,17.780666820019874,9999.0
