algorithm,constructionTime,executionTime,weightMST
Prim Nomal,0.095000,0.013500,13361
Kruskal Normal,0.118600,0.005400,13361
Prim Geometric,0.074100,0.013200,9362
Kruskal Geometric,0.081500,0.005600,9362
Prim Nomal,0.090800,0.013100,14028
Kruskal Normal,0.098100,0.005300,14028
Prim Geometric,0.079600,0.013400,9393
Kruskal Geometric,0.087300,0.005100,9393
Prim Nomal,0.067700,0.013100,12675
Kruskal Normal,0.075500,0.005200,12675
Prim Geometric,0.067900,0.013100,8451
Kruskal Geometric,0.075400,0.005400,8451
Prim Nomal,0.066300,0.012900,12546
Kruskal Normal,0.073600,0.005400,12546
Prim Geometric,0.067300,0.012500,9607
Kruskal Geometric,0.074500,0.005500,9607
Prim Nomal,0.066000,0.012500,13817
Kruskal Normal,0.073400,0.005400,13817
Prim Geometric,0.067900,0.012800,9137
Kruskal Geometric,0.074600,0.005400,9137
Prim Nomal,0.080700,0.013600,11771
Kruskal Normal,0.090100,0.005600,11771
Prim Geometric,0.074200,0.012900,9180
Kruskal Geometric,0.081200,0.005500,9180
Prim Nomal,0.066600,0.013200,12402
Kruskal Normal,0.074000,0.005600,12402
Prim Geometric,0.072000,0.014300,9594
Kruskal Geometric,0.079600,0.005500,9594
Prim Nomal,0.089200,0.013100,12123
Kruskal Normal,0.098800,0.005200,12123
Prim Geometric,0.079700,0.013000,9035
Kruskal Geometric,0.087700,0.005300,9035
Prim Nomal,0.079700,0.013400,13041
Kruskal Normal,0.089600,0.005600,13041
Prim Geometric,0.067100,0.012500,9081
Kruskal Geometric,0.073800,0.005300,9081
Prim Nomal,0.067500,0.013000,13172
Kruskal Normal,0.075000,0.019200,13172
Prim Geometric,0.085400,0.014100,9315
Kruskal Geometric,0.093700,0.005700,9315
Prim Nomal,0.096300,0.068000,1598
Kruskal Normal,0.158000,0.048900,1598
Prim Geometric,0.094200,0.087300,2398
Kruskal Geometric,0.123500,0.050100,2398
Prim Nomal,0.107700,0.070300,1501
Kruskal Normal,0.133300,0.050900,1501
Prim Geometric,0.094000,0.074200,2617
Kruskal Geometric,0.117400,0.049400,2617
Prim Nomal,0.102200,0.068700,1353
Kruskal Normal,0.128500,0.052100,1353
Prim Geometric,0.097700,0.073800,2463
Kruskal Geometric,0.122000,0.053200,2463
Prim Nomal,0.099300,0.066000,1392
Kruskal Normal,0.125300,0.052000,1392
Prim Geometric,0.096700,0.073000,2408
Kruskal Geometric,0.120300,0.063300,2408
Prim Nomal,0.098900,0.067300,1142
Kruskal Normal,0.123700,0.051500,1142
Prim Geometric,0.093300,0.067300,2540
Kruskal Geometric,0.116300,0.048700,2540
Prim Nomal,0.097100,0.066500,1509
Kruskal Normal,0.121800,0.051700,1509
Prim Geometric,0.093200,0.074600,2398
Kruskal Geometric,0.116200,0.049000,2398
Prim Nomal,0.225800,1.547000,1385
Kruskal Normal,0.254900,0.051900,1385
Prim Geometric,0.114400,0.124700,2556
Kruskal Geometric,0.138400,0.050800,2556
Prim Nomal,0.122500,0.066600,1438
Kruskal Normal,0.148500,0.052000,1438
Prim Geometric,0.112600,0.074300,2462
Kruskal Geometric,0.135500,0.058300,2462
Prim Nomal,0.121000,0.065600,1391
Kruskal Normal,0.146800,1.912100,1391
Prim Geometric,0.214700,0.073000,2485
Kruskal Geometric,0.240500,0.064200,2485
Prim Nomal,0.103100,0.068200,1269
Kruskal Normal,0.128900,0.053500,1269
Prim Geometric,0.115700,0.074300,2499
Kruskal Geometric,0.140400,0.049200,2499
Prim Nomal,0.140900,0.098700,851
Kruskal Normal,0.175900,0.094800,851
Prim Geometric,0.134500,0.113500,1883
Kruskal Geometric,0.197600,0.093000,1883
Prim Nomal,0.132100,0.099900,752
Kruskal Normal,0.168900,0.095700,752
Prim Geometric,0.123200,0.112300,1816
Kruskal Geometric,0.159000,0.093800,1816
Prim Nomal,0.129300,0.099700,820
Kruskal Normal,0.164500,0.207200,820
Prim Geometric,0.138600,0.119800,1662
Kruskal Geometric,0.173200,0.092800,1662
Prim Nomal,0.144000,0.098700,660
Kruskal Normal,0.183300,0.096200,660
