algorithm,constructionTime,executionTime,weightMST
Prim Nomal,0.092400,0.002400,0
Kruskal Normal,0.096500,0.000600,0
Prim Geometric,0.061700,0.001300,0
Kruskal Geometric,0.065400,0.000400,0
Prim Nomal,0.063800,0.002600,0
Kruskal Normal,0.067700,0.000500,0
Prim Geometric,0.080500,0.001900,0
Kruskal Geometric,0.084200,0.000500,0
Prim Nomal,0.064900,0.003100,0
Kruskal Normal,0.068700,0.000700,0
Prim Geometric,0.066600,0.001800,0
Kruskal Geometric,0.070700,0.000600,0
Prim Nomal,0.061900,0.002200,0
Kruskal Normal,0.065700,0.000600,0
Prim Geometric,0.066700,0.001900,0
Kruskal Geometric,0.070600,0.000700,0
Prim Nomal,0.063500,0.002400,0
Kruskal Normal,0.067600,0.000700,0
Prim Geometric,0.068000,0.002100,0
Kruskal Geometric,0.072000,0.000700,0
Prim Nomal,0.062500,0.002000,0
Kruskal Normal,0.066200,0.000700,0
Prim Geometric,0.067700,0.001700,0
Kruskal Geometric,0.071700,0.000600,0
Prim Nomal,0.250300,0.003900,0
Kruskal Normal,0.256500,0.000700,0
Prim Geometric,0.067400,0.002000,0
Kruskal Geometric,0.071400,0.000600,0
Prim Nomal,0.089300,0.003100,0
Kruskal Normal,0.093700,0.000600,0
Prim Geometric,0.079500,0.001500,0
Kruskal Geometric,0.083800,0.000500,0
Prim Nomal,0.064100,0.002400,0
Kruskal Normal,0.067900,0.000700,0
Prim Geometric,0.064500,0.001400,0
Kruskal Geometric,0.068100,0.000500,0
Prim Nomal,0.062600,0.002300,0
Kruskal Normal,0.066500,0.000600,0
Prim Geometric,2.692700,0.003300,0
Kruskal Geometric,2.698600,0.001000,0
Prim Nomal,0.095600,0.064700,1401
Kruskal Normal,0.134700,0.046500,1401
Prim Geometric,0.095700,0.075500,2602
Kruskal Geometric,0.117500,0.048300,2602
Prim Nomal,0.111500,0.063600,1560
Kruskal Normal,0.146500,0.043600,1560
Prim Geometric,0.104700,0.065700,2382
Kruskal Geometric,0.127900,0.045100,2382
