algorithm,constructionTime,executionTime,weightMST
Prim Nomal,0.110800,0.086000,1728
Kruskal Normal,0.133500,0.047700,1728
Prim Geometric,0.119000,0.071900,2554
Kruskal Geometric,0.141300,0.065900,2554
Prim Nomal,0.095800,0.064300,1567
Kruskal Normal,0.132400,0.046700,1567
Prim Geometric,0.090500,0.085500,2513
Kruskal Geometric,0.111500,0.046600,2513
Prim Nomal,0.092100,0.074500,1580
Kruskal Normal,0.114500,0.047000,1580
Prim Geometric,0.090600,0.068600,2715
Kruskal Geometric,0.123900,0.047800,2715
Prim Nomal,0.092900,0.063800,1602
Kruskal Normal,0.116200,0.158300,1602
Prim Geometric,0.104200,0.067900,2530
Kruskal Geometric,0.127100,0.045300,2530
Prim Nomal,0.094300,0.063500,1526
Kruskal Normal,0.117400,0.062600,1526
Prim Geometric,0.088100,0.066200,2458
Kruskal Geometric,0.109800,0.058200,2458
Prim Nomal,0.093800,0.063100,1592
Kruskal Normal,0.117000,0.047700,1592
Prim Geometric,0.088200,0.072100,2503
Kruskal Geometric,0.109300,0.044700,2503
Prim Nomal,0.095200,0.065000,1479
Kruskal Normal,0.118100,0.046400,1479
Prim Geometric,0.106500,0.069300,2555
Kruskal Geometric,0.157600,0.049000,2555
Prim Nomal,0.125100,0.062800,1496
Kruskal Normal,0.148600,0.047800,1496
Prim Geometric,0.091800,0.078200,2362
Kruskal Geometric,0.114200,0.046200,2362
Prim Nomal,0.202800,0.094400,771
Kruskal Normal,0.251700,0.102300,771
Prim Geometric,0.141300,0.108000,1930
Kruskal Geometric,0.175000,0.086100,1930
Prim Nomal,0.131300,0.111900,760
Kruskal Normal,0.166500,0.094300,760
Prim Geometric,0.118800,0.122600,1883
Kruskal Geometric,0.153300,0.108600,1883
Prim Nomal,0.136200,0.097300,783
Kruskal Normal,0.190900,0.088100,783
Prim Geometric,0.115900,0.108800,1785
Kruskal Geometric,0.158000,0.086700,1785
Prim Nomal,0.133200,0.095400,857
Kruskal Normal,0.177700,0.086300,857
Prim Geometric,0.245900,0.114800,1841
Kruskal Geometric,0.280300,0.089100,1841
Prim Nomal,0.167400,0.096200,733
Kruskal Normal,0.202500,0.100900,733
Prim Geometric,0.354300,5.611700,1778
Kruskal Geometric,0.927400,0.147800,1778
Prim Nomal,4.382400,0.097300,664
Kruskal Normal,4.432300,0.091900,664
Prim Geometric,0.231000,0.107900,1718
Kruskal Geometric,0.266500,0.087800,1718
Prim Nomal,0.126200,0.098300,908
Kruskal Normal,0.161300,0.092300,908
Prim Geometric,0.118000,0.129300,1858
Kruskal Geometric,0.152000,0.089500,1858
Prim Nomal,0.123400,0.097100,860
Kruskal Normal,0.157700,0.086000,860
Prim Geometric,0.117400,0.113400,1710
Kruskal Geometric,0.151500,0.090000,1710
Prim Nomal,0.126600,0.095100,938
Kruskal Normal,0.161400,0.090900,938
Prim Geometric,0.116300,0.137000,1830
Kruskal Geometric,0.150500,0.087000,1830
Prim Nomal,0.131400,0.099500,820
Kruskal Normal,0.168700,0.092000,820
Prim Geometric,0.127700,0.122500,1833
Kruskal Geometric,0.162600,0.087000,1833
Prim Nomal,0.141600,0.109100,500
Kruskal Normal,0.203800,0.138000,500
Prim Geometric,0.264900,0.182600,1487
Kruskal Geometric,0.359000,0.164600,1487
Prim Nomal,0.152600,0.121700,641
Kruskal Normal,0.242000,0.134700,641
Prim Geometric,0.157600,0.147300,1652
Kruskal Geometric,0.251100,0.126300,1652
Prim Nomal,0.164000,0.107500,590
Kruskal Normal,0.242000,0.133200,590
Prim Geometric,0.177900,0.140100,1483
Kruskal Geometric,0.257400,0.315500,1483
Prim Nomal,0.173100,0.108400,487
Kruskal Normal,0.249300,0.134500,487
Prim Geometric,0.480800,0.533900,1609
Kruskal Geometric,0.860400,0.131100,1609
Prim Nomal,0.142200,0.107400,480
Kruskal Normal,0.217900,0.135000,480
Prim Geometric,0.137600,0.143200,1528
Kruskal Geometric,0.207500,0.127400,1528
Prim Nomal,0.178800,0.126500,526
Kruskal Normal,0.273000,0.148800,526
Prim Geometric,0.124100,0.145000,1504
Kruskal Geometric,0.204400,0.131400,1504
Prim Nomal,4.574300,0.319600,601
Kruskal Normal,4.665000,0.145000,601
Prim Geometric,0.149900,0.215800,1481
Kruskal Geometric,0.239600,0.126600,1481
Prim Nomal,0.178600,0.106100,560
Kruskal Normal,0.261700,0.137400,560
Prim Geometric,0.149600,0.133300,1490
Kruskal Geometric,0.225300,0.125400,1490
Prim Nomal,0.168100,0.108500,613
Kruskal Normal,0.310500,0.130300,613
Prim Geometric,0.140900,0.216700,1449
Kruskal Geometric,0.438500,0.159800,1449
Prim Nomal,0.182100,0.109300,512
Kruskal Normal,0.256500,0.133100,512
Prim Geometric,0.159500,0.154900,1404
Kruskal Geometric,0.244500,0.127500,1404
Prim Nomal,0.170600,0.098400,398
Kruskal Normal,0.243200,0.674500,398
Prim Geometric,0.124100,0.135000,1270
Kruskal Geometric,0.182900,0.167100,1270
Prim Nomal,0.133700,0.098000,509
Kruskal Normal,0.194300,0.175300,509
Prim Geometric,0.100000,0.141500,1267
Kruskal Geometric,0.160200,0.167600,1267
Prim Nomal,0.126000,4.232000,384
Kruskal Normal,0.190000,0.204300,384
Prim Geometric,0.355000,0.240600,1472
Kruskal Geometric,0.420900,0.169500,1472
Prim Nomal,0.128400,0.095200,423
Kruskal Normal,0.204900,0.504500,423
Prim Geometric,0.103500,0.159400,1376
Kruskal Geometric,0.166600,0.201900,1376
Prim Nomal,0.128700,0.093500,443
Kruskal Normal,0.197000,0.174300,443
Prim Geometric,0.259800,0.143200,1402
Kruskal Geometric,0.322100,0.167400,1402
Prim Nomal,0.129000,0.095000,447
Kruskal Normal,0.204900,0.189500,447
Prim Geometric,0.105800,0.174800,1256
Kruskal Geometric,0.173200,0.178100,1256
Prim Nomal,0.150700,0.473800,450
Kruskal Normal,0.428000,0.182800,450
Prim Geometric,0.150600,0.140900,1289
Kruskal Geometric,0.215700,0.169800,1289
Prim Nomal,0.137200,0.096700,383
Kruskal Normal,0.195600,0.181100,383
Prim Geometric,0.115700,0.160000,1404
Kruskal Geometric,0.185400,0.184400,1404
Prim Nomal,0.124500,0.098000,426
Kruskal Normal,0.189800,0.179700,426
Prim Geometric,0.106100,0.140900,1382
Kruskal Geometric,0.168600,0.179600,1382
Prim Nomal,0.135300,0.096300,511
Kruskal Normal,0.199600,0.177100,511
Prim Geometric,0.126400,0.154600,1358
Kruskal Geometric,0.188300,0.166300,1358
Prim Nomal,0.112500,0.075300,370
Kruskal Normal,0.195400,0.239100,370
Prim Geometric,0.099100,0.142500,1152
Kruskal Geometric,0.188300,7.344500,1152
Prim Nomal,0.113800,0.075800,303
Kruskal Normal,0.189800,0.230800,303
Prim Geometric,0.088000,0.183300,1133
Kruskal Geometric,0.169700,5.272000,1133
Prim Nomal,0.112900,0.093400,335
Kruskal Normal,0.193000,0.214600,335
Prim Geometric,0.103800,0.123700,1273
Kruskal Geometric,0.181800,0.210300,1273
Prim Nomal,0.119200,0.075500,341
Kruskal Normal,0.193200,0.232300,341
Prim Geometric,0.126100,0.121000,1258
Kruskal Geometric,0.204600,0.812600,1258
Prim Nomal,0.125200,0.080000,393
Kruskal Normal,0.228500,0.219000,393
Prim Geometric,0.086500,0.219900,1193
Kruskal Geometric,0.163500,0.267700,1193
Prim Nomal,0.139700,0.076500,372
Kruskal Normal,0.221500,1.067100,372
Prim Geometric,0.100700,0.143400,1146
Kruskal Geometric,0.185400,0.207600,1146
Prim Nomal,0.113300,0.075000,329
Kruskal Normal,0.201200,0.216400,329
Prim Geometric,0.083400,0.123200,1237
Kruskal Geometric,0.161200,0.205800,1237
Prim Nomal,0.113500,0.074400,339
Kruskal Normal,0.210400,0.221000,339
Prim Geometric,0.088400,0.125900,1259
Kruskal Geometric,0.177900,0.202300,1259
Prim Nomal,0.123200,0.075000,328
Kruskal Normal,0.206700,0.277000,328
Prim Geometric,0.095500,0.193800,1161
Kruskal Geometric,0.181900,0.205500,1161
Prim Nomal,0.161300,0.073900,426
Kruskal Normal,0.239200,0.223100,426
Prim Geometric,0.116400,0.189200,1274
Kruskal Geometric,0.219000,0.241500,1274
Prim Nomal,5.485800,0.021300,0
Kruskal Normal,5.574200,0.000700,0
Prim Geometric,1.455800,0.003700,0
Kruskal Geometric,1.538900,0.000700,0
Prim Nomal,1.481200,0.004400,0
Kruskal Normal,1.568500,0.000800,0
Prim Geometric,3.631800,0.004900,0
Kruskal Geometric,3.719900,0.000700,0
Prim Nomal,3.189900,0.025900,0
Kruskal Normal,3.277200,0.001000,0
Prim Geometric,3.670700,0.005700,0
Kruskal Geometric,3.932100,0.000800,0
Prim Nomal,3.921600,0.006700,0
Kruskal Normal,4.007200,0.000700,0
Prim Geometric,1.502100,0.004700,0
Kruskal Geometric,1.588200,0.000900,0
Prim Nomal,2.067800,0.009000,0
Kruskal Normal,2.887600,0.000800,0
Prim Geometric,1.605700,0.004000,0
Kruskal Geometric,1.692800,0.000700,0
Prim Nomal,1.477900,0.004700,0
Kruskal Normal,1.559400,0.000800,0
Prim Geometric,1.644800,0.003700,0
Kruskal Geometric,1.727600,0.000700,0
Prim Nomal,1.517900,0.006800,0
Kruskal Normal,1.654800,0.000800,0
Prim Geometric,3.593400,0.004900,0
Kruskal Geometric,3.681400,0.000700,0
Prim Nomal,1.673500,0.007000,0
Kruskal Normal,1.787800,0.000800,0
Prim Geometric,2.348200,0.004400,0
Kruskal Geometric,2.432900,0.000800,0
Prim Nomal,1.476300,0.005400,0
Kruskal Normal,1.563700,0.000800,0
Prim Geometric,13.619800,0.005500,0
Kruskal Geometric,13.706500,0.000700,0
Prim Nomal,2.104600,0.006800,0
Kruskal Normal,2.195900,0.000700,0
Prim Geometric,1.476400,0.004000,0
Kruskal Geometric,1.559700,0.000700,0
Prim Nomal,2.352500,1.130200,1802
Kruskal Normal,3.038000,4.197800,1802
Prim Geometric,2.273100,4.163400,5618
Kruskal Geometric,3.025000,1.091200,5618
Prim Nomal,5.044000,1.280100,1784
Kruskal Normal,5.744900,2.744600,1784
Prim Geometric,2.904700,4.732600,5620
Kruskal Geometric,3.603300,1.082400,5620
Prim Nomal,2.522700,1.145400,1738
Kruskal Normal,3.487300,1.372400,1738
Prim Geometric,2.739000,1.611600,5626
Kruskal Geometric,3.492000,1.399800,5626
Prim Nomal,2.265500,1.228800,1769
Kruskal Normal,2.919200,5.220700,1769
Prim Geometric,4.178900,1.675800,5837
Kruskal Geometric,5.725200,1.129000,5837
Prim Nomal,3.253900,3.005600,1888
Kruskal Normal,4.113600,2.380900,1888
Prim Geometric,6.285300,3.102200,5526
Kruskal Geometric,7.396100,1.085700,5526
Prim Nomal,5.053300,1.174400,1795
Kruskal Normal,5.867100,1.166000,1795
Prim Geometric,3.319000,1.539200,5337
Kruskal Geometric,4.044200,1.075300,5337
Prim Nomal,4.233900,1.131100,1802
Kruskal Normal,4.929000,1.218000,1802
Prim Geometric,2.629200,2.443200,5510
Kruskal Geometric,3.659200,1.084000,5510
Prim Nomal,2.372800,1.148900,1703
Kruskal Normal,3.429500,1.368200,1703
Prim Geometric,5.888900,1.344000,5450
Kruskal Geometric,6.539200,2.025000,5450
Prim Nomal,2.242800,1.627500,1827
Kruskal Normal,2.951500,1.105700,1827
Prim Geometric,7.874700,3.998100,5472
Kruskal Geometric,8.563700,2.607600,5472
Prim Nomal,2.353000,1.118300,1765
Kruskal Normal,3.012900,1.539700,1765
Prim Geometric,2.329400,3.225800,5324
Kruskal Geometric,2.989000,1.059700,5324
Prim Nomal,4.116700,4.148600,1050
Kruskal Normal,5.296200,2.251500,1050
Prim Geometric,5.748200,2.642700,3996
Kruskal Geometric,6.929900,3.303900,3996
Prim Nomal,3.072000,1.802400,989
Kruskal Normal,4.186500,6.945500,989
Prim Geometric,2.791900,2.238000,3970
Kruskal Geometric,4.003700,2.847300,3970
Prim Nomal,3.977800,2.260500,1008
Kruskal Normal,5.632800,7.913000,1008
Prim Geometric,8.434200,2.364200,4001
Kruskal Geometric,9.527700,2.527900,4001
Prim Nomal,3.147100,1.857000,1069
Kruskal Normal,4.258300,6.776600,1069
Prim Geometric,2.812100,2.374200,3869
Kruskal Geometric,3.952400,2.149300,3869
Prim Nomal,3.430100,1.843100,1043
Kruskal Normal,4.563900,2.172200,1043
Prim Geometric,4.891700,2.686500,3978
Kruskal Geometric,6.199900,2.717400,3978
Prim Nomal,3.086700,5.367200,975
Kruskal Normal,4.318800,2.723600,975
Prim Geometric,2.838000,4.858600,3953
Kruskal Geometric,3.882600,2.648500,3953
Prim Nomal,3.092000,1.818900,1057
Kruskal Normal,4.210200,5.567500,1057
Prim Geometric,4.844300,2.441300,3957
Kruskal Geometric,5.939400,2.101000,3957
Prim Nomal,3.294600,1.812700,1008
Kruskal Normal,4.346400,2.149900,1008
Prim Geometric,4.794400,2.615300,3916
Kruskal Geometric,6.943600,3.503500,3916
Prim Nomal,3.041700,1.846300,1024
Kruskal Normal,4.274600,2.208200,1024
Prim Geometric,3.022700,2.946300,3872
Kruskal Geometric,7.633100,2.082000,3872
Prim Nomal,4.187500,6.570800,1030
Kruskal Normal,5.313800,2.298200,1030
Prim Geometric,7.149800,2.358300,3925
Kruskal Geometric,8.488400,2.325500,3925
Prim Nomal,6.738800,2.003200,791
Kruskal Normal,8.100800,3.366400,791
Prim Geometric,3.824000,2.696000,3275
Kruskal Geometric,8.775200,3.246900,3275
Prim Nomal,3.469100,2.072600,781
Kruskal Normal,8.305700,3.777500,781
Prim Geometric,4.677100,3.784000,3160
Kruskal Geometric,11.091800,3.382000,3160
Prim Nomal,8.080400,1.985600,769
Kruskal Normal,9.455600,3.474300,769
Prim Geometric,3.045400,5.154000,3309
Kruskal Geometric,6.391900,3.686400,3309
Prim Nomal,8.478900,2.002500,780
Kruskal Normal,9.915400,5.219400,780
Prim Geometric,2.899200,3.127500,3280
Kruskal Geometric,4.216300,3.158000,3280
Prim Nomal,8.814500,2.146100,794
Kruskal Normal,12.280900,3.501700,794
Prim Geometric,4.595900,3.027200,3228
Kruskal Geometric,6.009800,8.433300,3228
Prim Nomal,3.585000,1.995300,779
Kruskal Normal,4.865900,5.260400,779
Prim Geometric,4.025500,3.068800,3245
Kruskal Geometric,5.323600,4.441800,3245
Prim Nomal,4.398300,2.159200,753
Kruskal Normal,12.398600,3.331200,753
Prim Geometric,5.887000,4.393700,3382
Kruskal Geometric,7.215000,4.334500,3382
Prim Nomal,5.146800,2.028800,785
Kruskal Normal,6.488100,5.726700,785
Prim Geometric,3.710800,3.539100,3226
Kruskal Geometric,5.015800,10.375400,3226
Prim Nomal,3.472700,2.168500,790
Kruskal Normal,4.941400,5.378000,790
Prim Geometric,5.154900,7.199900,3193
Kruskal Geometric,6.488000,4.126300,3193
Prim Nomal,3.555900,1.980700,776
Kruskal Normal,4.934200,4.638200,776
Prim Geometric,3.075800,2.663800,3280
Kruskal Geometric,6.366200,4.403900,3280
Prim Nomal,4.828400,3.316700,662
Kruskal Normal,5.953200,5.815500,662
Prim Geometric,2.835700,2.803000,2925
Kruskal Geometric,4.362200,4.284400,2925
Prim Nomal,8.016600,1.641300,626
Kruskal Normal,9.581400,8.081600,626
Prim Geometric,2.449400,2.862400,2870
Kruskal Geometric,3.648100,4.438500,2870
Prim Nomal,4.885200,1.659200,668
Kruskal Normal,9.070000,5.319200,668
Prim Geometric,2.718900,4.585500,2927
Kruskal Geometric,3.888800,5.745900,2927
Prim Nomal,3.192900,1.781300,657
Kruskal Normal,4.314800,8.894800,657
Prim Geometric,3.788900,6.384900,2865
Kruskal Geometric,4.935900,4.268500,2865
Prim Nomal,6.110500,1.760500,651
Kruskal Normal,7.350700,6.861900,651
Prim Geometric,7.428600,2.556100,2928
Kruskal Geometric,8.690900,4.700800,2928
Prim Nomal,7.136800,1.877300,682
Kruskal Normal,8.274700,5.967100,682
Prim Geometric,5.222100,2.252900,2856
Kruskal Geometric,7.926800,4.253800,2856
Prim Nomal,5.409800,2.988100,659
Kruskal Normal,7.040700,4.517900,659
Prim Geometric,2.457300,5.870700,3024
Kruskal Geometric,7.042100,4.431300,3024
Prim Nomal,3.094900,1.762100,666
Kruskal Normal,4.189200,8.455200,666
Prim Geometric,2.438000,2.715200,2916
Kruskal Geometric,3.476400,6.096800,2916
Prim Nomal,3.307100,4.460900,677
Kruskal Normal,4.535800,9.091600,677
Prim Geometric,2.514100,5.178800,2969
Kruskal Geometric,3.885100,6.577500,2969
Prim Nomal,6.913900,2.866200,661
Kruskal Normal,8.019200,4.497800,661
Prim Geometric,6.680400,3.196200,2930
Kruskal Geometric,9.437400,4.634300,2930
Prim Nomal,2.946600,0.906700,595
Kruskal Normal,4.711000,10.039500,595
Prim Geometric,2.039100,2.069400,2695
Kruskal Geometric,3.027100,8.003600,2695
Prim Nomal,2.808700,0.923300,610
Kruskal Normal,3.816500,8.995500,610
Prim Geometric,3.157100,2.837600,2736
Kruskal Geometric,4.097300,7.590100,2736
Prim Nomal,6.771800,3.016300,599
Kruskal Normal,12.307300,6.493800,599
Prim Geometric,3.785800,3.454000,2628
Kruskal Geometric,7.340400,7.203700,2628
Prim Nomal,3.222500,1.308800,611
Kruskal Normal,5.862700,9.284300,611
Prim Geometric,2.037400,4.072800,2630
Kruskal Geometric,3.045900,8.952700,2630
Prim Nomal,5.540400,0.982300,567
Kruskal Normal,7.121800,6.988000,567
Prim Geometric,2.142100,7.866100,2676
Kruskal Geometric,3.085600,6.101200,2676
Prim Nomal,5.163200,0.889500,569
Kruskal Normal,6.982600,6.314400,569
Prim Geometric,1.985700,7.565400,2644
Kruskal Geometric,2.854700,7.861400,2644
Prim Nomal,5.544900,1.014400,598
Kruskal Normal,6.533400,9.276100,598
Prim Geometric,3.482400,5.366000,2674
Kruskal Geometric,4.484800,14.489500,2674
Prim Nomal,4.197100,1.214700,594
Kruskal Normal,9.685300,8.984600,594
Prim Geometric,3.195700,2.691000,2667
Kruskal Geometric,6.238800,15.056000,2667
Prim Nomal,3.936700,2.051900,595
Kruskal Normal,7.976000,8.465700,595
Prim Geometric,2.042800,5.943000,2625
Kruskal Geometric,6.725100,12.916100,2625
Prim Nomal,9.854600,1.099600,607
Kruskal Normal,11.204300,9.678600,607
Prim Geometric,4.051000,5.133500,2654
Kruskal Geometric,6.551100,8.186900,2654
Prim Nomal,9.004300,0.089500,0
Kruskal Normal,9.439800,0.001300,0
Prim Geometric,14.312200,0.016300,0
Kruskal Geometric,14.638400,0.000900,0
Prim Nomal,11.609300,0.018200,0
Kruskal Normal,11.968500,0.000800,0
Prim Geometric,11.152100,0.023600,0
Kruskal Geometric,11.470200,0.000800,0
Prim Nomal,14.330700,0.020100,0
Kruskal Normal,14.710800,0.000900,0
Prim Geometric,5.953200,0.029200,0
Kruskal Geometric,8.216100,0.000900,0
Prim Nomal,9.319000,0.018800,0
Kruskal Normal,9.630100,0.001100,0
Prim Geometric,8.144200,0.092500,0
Kruskal Geometric,10.050200,0.001200,0
Prim Nomal,7.290300,0.017900,0
Kruskal Normal,7.601300,0.000800,0
Prim Geometric,12.153600,0.019900,0
Kruskal Geometric,12.464800,0.000800,0
Prim Nomal,9.803300,0.019900,0
Kruskal Normal,10.124800,0.000900,0
Prim Geometric,11.106900,0.016100,0
Kruskal Geometric,11.424200,0.000800,0
Prim Nomal,11.716300,0.020000,0
Kruskal Normal,12.096400,0.000800,0
Prim Geometric,9.662500,0.021300,0
Kruskal Geometric,9.977400,0.000800,0
Prim Nomal,5.826500,0.016100,0
Kruskal Normal,6.137000,0.000800,0
Prim Geometric,13.004800,0.017600,0
Kruskal Geometric,13.315300,0.000900,0
Prim Nomal,9.743800,0.023600,0
Kruskal Normal,10.059200,0.000900,0
Prim Geometric,8.919700,0.021200,0
Kruskal Geometric,9.289400,0.001000,0
Prim Nomal,8.951300,0.017900,0
Kruskal Normal,9.265200,0.000900,0
Prim Geometric,5.703600,0.014800,0
Kruskal Geometric,6.013800,0.000700,0
Prim Nomal,9.650100,6.181200,2023
Kruskal Normal,14.507000,4.658900,2023
Prim Geometric,13.275500,8.698600,7606
Kruskal Geometric,15.494900,4.349800,7606
Prim Nomal,16.003800,6.681400,2073
Kruskal Normal,18.265800,4.484900,2073
Prim Geometric,13.231700,5.050200,7734
Kruskal Geometric,15.768800,9.124900,7734
Prim Nomal,14.248600,6.328800,2115
Kruskal Normal,17.089600,4.892000,2115
Prim Geometric,10.344200,5.892400,7695
Kruskal Geometric,12.738700,12.493400,7695
Prim Nomal,11.290000,5.599500,2151
Kruskal Normal,13.791700,6.073200,2151
Prim Geometric,9.219500,8.991800,7401
Kruskal Geometric,13.415700,7.720500,7401
Prim Nomal,13.787200,6.430600,1964
Kruskal Normal,19.046600,5.193300,1964
Prim Geometric,12.279400,6.043500,7481
Kruskal Geometric,14.692100,7.650300,7481
Prim Nomal,13.210400,6.869300,1972
Kruskal Normal,15.580500,6.541100,1972
Prim Geometric,8.193500,4.816400,7996
Kruskal Geometric,13.038900,4.878400,7996
Prim Nomal,11.863800,4.495200,2044
Kruskal Normal,14.102000,10.655000,2044
Prim Geometric,10.841100,7.275100,7785
Kruskal Geometric,13.070500,7.935000,7785
Prim Nomal,11.926800,5.665400,2083
Kruskal Normal,14.330500,6.906200,2083
Prim Geometric,8.311000,8.248400,7660
Kruskal Geometric,10.609700,5.272800,7660
Prim Nomal,11.838500,4.378100,2085
Kruskal Normal,14.655400,8.493000,2085
Prim Geometric,11.417500,7.173800,7474
Kruskal Geometric,13.802400,10.311000,7474
Prim Nomal,13.776800,7.524700,2049
Kruskal Normal,16.400700,5.704200,2049
Prim Geometric,10.958700,6.734000,7650
Kruskal Geometric,13.349300,6.020400,7650
Prim Nomal,19.785700,8.089200,1277
Kruskal Normal,29.694600,14.478400,1277
Prim Geometric,12.822300,12.811700,5536
Kruskal Geometric,17.106900,12.580500,5536
Prim Nomal,15.917100,8.689400,1316
Kruskal Normal,21.779600,13.240100,1316
Prim Geometric,16.501200,13.839400,5432
Kruskal Geometric,22.388000,10.339300,5432
Prim Nomal,18.096800,7.892800,1330
Kruskal Normal,23.905100,12.408400,1330
Prim Geometric,14.811800,17.440900,5357
Kruskal Geometric,18.865400,11.805300,5357
Prim Nomal,17.072600,6.947000,1314
Kruskal Normal,20.924000,15.518000,1314
Prim Geometric,11.201200,9.783000,5384
Kruskal Geometric,18.117200,10.605100,5384
Prim Nomal,16.155800,11.290200,1285
Kruskal Normal,22.064100,9.937600,1285
Prim Geometric,16.615700,10.547900,5495
Kruskal Geometric,25.246900,11.411300,5495
Prim Nomal,16.534400,10.634300,1320
Kruskal Normal,20.834500,10.392600,1320
Prim Geometric,11.993400,12.870200,5552
Kruskal Geometric,15.852800,12.989000,5552
Prim Nomal,19.611300,7.050000,1302
Kruskal Normal,25.754800,17.601000,1302
Prim Geometric,13.758800,12.920500,5509
Kruskal Geometric,17.675100,12.652100,5509
Prim Nomal,17.432100,8.212700,1317
Kruskal Normal,25.722400,10.477700,1317
Prim Geometric,15.287000,11.627400,5504
Kruskal Geometric,19.313400,14.662000,5504
Prim Nomal,16.864300,12.643600,1315
Kruskal Normal,20.739900,10.628600,1315
Prim Geometric,13.289600,8.132500,5513
Kruskal Geometric,19.189000,12.073100,5513
Prim Nomal,18.373400,8.348900,1296
Kruskal Normal,24.958600,11.665900,1296
Prim Geometric,14.651200,16.622400,5342
Kruskal Geometric,19.516300,10.474800,5342
Prim Nomal,19.017700,12.314200,1110
Kruskal Normal,23.717300,16.409800,1110
Prim Geometric,17.926300,14.307600,4592
Kruskal Geometric,22.506900,16.562700,4592
Prim Nomal,14.609800,11.139900,1126
Kruskal Normal,24.621100,20.454200,1126
Prim Geometric,16.852800,11.285300,4548
Kruskal Geometric,22.727600,15.733200,4548
Prim Nomal,17.765700,9.372400,1107
Kruskal Normal,26.340800,16.288600,1107
Prim Geometric,17.222100,12.292500,4659
Kruskal Geometric,22.056100,17.141700,4659
Prim Nomal,15.229300,12.510500,1102
Kruskal Normal,27.579000,20.171500,1102
Prim Geometric,17.969900,15.491200,4643
Kruskal Geometric,22.885000,16.777400,4643
Prim Nomal,24.277700,9.378300,1104
Kruskal Normal,29.870400,19.167500,1104
Prim Geometric,13.794500,13.491200,4562
Kruskal Geometric,18.769500,15.398700,4562
Prim Nomal,26.433500,7.448300,1108
Kruskal Normal,31.415400,21.046500,1108
Prim Geometric,14.886700,14.758600,4549
Kruskal Geometric,21.247900,14.950000,4549
Prim Nomal,17.284500,9.660000,1138
Kruskal Normal,25.476600,15.779100,1138
Prim Geometric,17.379300,12.693500,4567
Kruskal Geometric,30.700900,18.162000,4567
Prim Nomal,19.783700,9.201400,1136
Kruskal Normal,28.796100,19.412200,1136
Prim Geometric,17.753300,12.723300,4507
Kruskal Geometric,22.530600,20.610800,4507
Prim Nomal,22.817300,9.492100,1152
Kruskal Normal,28.296800,19.714000,1152
Prim Geometric,16.310600,14.558800,4584
Kruskal Geometric,20.989200,16.573000,4584
Prim Nomal,26.343100,8.471700,1120
Kruskal Normal,30.924000,18.927800,1120
Prim Geometric,16.512800,13.415700,4596
Kruskal Geometric,23.233800,18.235500,4596
Prim Nomal,13.517300,9.769500,1046
Kruskal Normal,17.756200,31.113900,1046
Prim Geometric,9.572600,8.458500,4043
Kruskal Geometric,17.889000,25.774300,4043
Prim Nomal,18.570300,6.240500,1057
Kruskal Normal,24.067400,28.015100,1057
Prim Geometric,9.664600,14.635100,4119
Kruskal Geometric,21.372200,23.470900,4119
Prim Nomal,15.985500,6.088800,1046
Kruskal Normal,20.326100,27.843000,1046
Prim Geometric,15.679500,11.039900,4020
Kruskal Geometric,19.334000,24.983000,4020
Prim Nomal,18.093800,8.296200,1045
